Ngày; close 
04/05/2020;709,35
05/05/2020;711,01
06/05/2020;725,94
07/05/2020;739,98
08/05/2020;760,15
11/05/2020;777,13
12/05/2020;782,45
13/05/2020;783,69
14/05/2020;780,73
15/05/2020;773,95
18/05/2020;787,27
19/05/2020;799,31
20/05/2020;803,32
21/05/2020;815,55
22/05/2020;803,14
25/05/2020;807,25
26/05/2020;815,01
27/05/2020;801,36
28/05/2020;804,06
29/05/2020;806,23
01/06/2020;821,47
02/06/2020;818,7
03/06/2020;824,29
04/06/2020;823,77
05/06/2020;826,47
08/06/2020;838,52
09/06/2020;837,02
10/06/2020;839,11
11/06/2020;806,87
12/06/2020;807,76
15/06/2020;778,71
16/06/2020;798,82
17/06/2020;796,43
18/06/2020;797,08
19/06/2020;808,28
22/06/2020;809,97
23/06/2020;807,61
24/06/2020;801,62
25/06/2020;796,51
26/06/2020;795,53
29/06/2020;774,81
30/06/2020;770,53
01/07/2020;786,82
02/07/2020;785,59
03/07/2020;789,87
06/07/2020;803,46
07/07/2020;805,68
08/07/2020;805,06
09/07/2020;817,08
10/07/2020;809,02
13/07/2020;806,17
14/07/2020;805,37
15/07/2020;810,16
16/07/2020;819,83
17/07/2020;814,16
20/07/2020;803,36
21/07/2020;804,7
22/07/2020;797,85
23/07/2020;800,29
24/07/2020;772,29
27/07/2020;729,93
28/07/2020;756,17
29/07/2020;735,16
30/07/2020;746,02
31/07/2020;740,73
03/08/2020;757,86
04/08/2020;768,22
05/08/2020;780,71
06/08/2020;781,6
07/08/2020;782,15
10/08/2020;784,3
11/08/2020;784,57
12/08/2020;788,42
13/08/2020;795,09
14/08/2020;791,98
17/08/2020;791,54
18/08/2020;786,95
19/08/2020;789,41
20/08/2020;786,11
21/08/2020;793,6
24/08/2020;809,69
25/08/2020;815,18
26/08/2020;812,36
27/08/2020;814,55
28/08/2020;821,93
31/08/2020;823,93
01/09/2020;832,03
03/09/2020;843,64
04/09/2020;840,54
07/09/2020;824,36
08/09/2020;827,57
09/09/2020;824,42
10/09/2020;825,85
11/09/2020;825,56
14/09/2020;832,24
15/09/2020;833,33
16/09/2020;834,5
17/09/2020;831,84
18/09/2020;841,26
21/09/2020;851,54
22/09/2020;852,72
23/09/2020;858,3
24/09/2020;853,21
25/09/2020;854,71
28/09/2020;863,31
29/09/2020;856,2
30/09/2020;858,54
01/10/2020;867,58
02/10/2020;861,51
05/10/2020;867,7
06/10/2020;871,37
07/10/2020;870,85
08/10/2020;869,82
09/10/2020;874,53
12/10/2020;874,9
13/10/2020;878,35
14/10/2020;892,15
15/10/2020;899,2
16/10/2020;901,59
19/10/2020;903,51
20/10/2020;909,49
21/10/2020;906,1
22/10/2020;918,3
23/10/2020;930,3
26/10/2020;919,56
27/10/2020;915,46
28/10/2020;888,88
29/10/2020;886,68
30/10/2020;892,55
02/11/2020;899,27
03/11/2020;902,14
04/11/2020;905,48
05/11/2020;903,64
06/11/2020;902,91
09/11/2020;917,42
10/11/2020;916,5
11/11/2020;916,68
12/11/2020;923
13/11/2020;931,2
16/11/2020;915,97
17/11/2020;934,65
18/11/2020;937,67
19/11/2020;944,92
20/11/2020;950,89
23/11/2020;960,03
24/11/2020;959,61
25/11/2020;960,63
26/11/2020;964,16
27/11/2020;971,11
30/11/2020;965,89
01/12/2020;976,35
02/12/2020;979,95
03/12/2020;985,44
04/12/2020;984,34
